Timestamp,Alpha1,Alpha2,Beta1,Beta2,Delta,Gamma1,Gamma2,Theta,Meditation,Attention,Raw,Signal
805,11234,17161,14544,17484,1688925,8028,2997,28054,48,54,58,100
1851,12645,9500,3933,9921,436719,3102,2631,69441,53,56,4,100
2888,5390,6094,6385,5303,154225,3188,1027,46857,44,60,24,100
3929,1831,1465,1765,1820,157251,2218,430,21003,24,56,-101,100
4975,3123,6186,13081,6565,1265084,3432,5395,55820,8,47,451,100
6022,28669,60923,37394,15070,491887,4378,4055,148978,14,43,5,100
7070,8358,4388,7500,2582,801941,2629,1146,66371,13,35,102,100
8106,185487,331697,826749,659950,750123,516724,617389,741684,21,51,-20,100
9146,20982,23788,10089,7934,1940760,2849,9443,95039,21,51,87,74
10191,251184,318450,198784,125662,890843,102513,57254,351136,47,53,81,100
11229,43428,165161,117936,172798,1200177,33261,44757,372798,41,66,860,100
12277,932344,797189,360811,273963,2361377,74056,86580,1312145,64,75,144,100
13325,24144,22454,34792,44676,1962215,11422,7581,141130,63,66,-29,100
14377,4511,13902,23868,6795,633757,5461,3573,71741,54,57,133,100
15425,54943,40535,41053,30188,774117,19101,17953,257611,40,57,0,100
16472,18688,84970,48627,19823,891199,33843,5825,367588,40,43,-22,100
17520,77574,25724,11773,23578,563836,10251,6141,91732,40,41,32,100
18570,6278,26154,20580,27063,270125,7260,7265,65149,48,51,93,100
19617,7940,5505,8981,3147,136063,2016,1336,97420,37,43,-34,100
20655,34447,16439,17961,18733,2260910,6255,2676,114112,41,51,90,100
21701,20088,10405,23908,38598,625726,6916,6473,190564,16,53,39,100
22750,7716,1933,1553,3677,84644,4383,2188,16089,21,48,33,100
23796,88446,37067,44627,141232,1473957,79169,35817,168546,37,70,92,100
24848,13535,7122,2556,5350,142855,1838,3956,28262,44,70,-1,100
25894,6771,9488,20374,6754,94931,2529,12963,36530,54,69,75,100
26942,16845,1920,12717,10232,99820,5098,2940,43666,48,69,50,100
27990,2983,11386,11599,7385,367149,6824,6117,39620,41,57,59,100
29039,8727,6553,10018,27306,73516,7706,4062,17185,30,75,54,100
30088,13986,23689,34937,15568,59909,6149,3324,12212,43,81,8,100
31136,7575,2500,966,1984,26814,1496,907,4068,64,81,33,100
32185,12051,6428,7155,2330,286941,1710,503,27784,75,75,20,100
33234,5012,33910,25964,13073,643721,2871,5973,160220,69,53,-5,100
34283,3278,4967,3710,4187,73608,4340,5940,16810,63,48,48,100
35311,6762,74851,6522,8703,526875,7410,2529,43797,51,40,33,100
36362,10305,24506,8096,13575,47157,4465,3426,19813,70,51,45,100
37411,9641,7066,2952,2004,228965,3820,2315,20376,81,41,90,100
38464,6835,11184,32597,8718,51992,7382,4122,16608,84,56,-119,100
39512,5682,235,2104,2827,115484,638,718,18029,61,61,85,100
40545,2572,3575,3903,9395,17676,2366,4584,23176,41,63,39,100
41572,4517,6746,7494,5969,14220,2865,7116,19753,29,74,29,100
42617,2610,4990,1720,3422,110053,558,706,6955,40,70,-9,100
43662,8248,7474,6200,9048,43257,8175,1430,30087,44,75,60,100
44710,15828,7385,7821,4222,97358,3880,4603,24768,63,66,61,100
45758,354,7511,9184,5988,36479,3649,1208,13066,63,69,91,100
46795,3991,2013,1608,2962,66583,631,844,14498,51,64,72,100
47846,33697,5076,22215,9282,7757,11866,5242,52634,54,60,71,100
48894,16272,9657,7760,6178,18138,2841,6906,76226,43,56,-22,100
49938,6819,21507,5933,7186,39294,3436,4896,40068,51,48,76,100
50990,35089,19035,7900,7560,72199,3420,7668,14515,75,47,76,100
52041,14483,28777,19215,8577,10314,4341,2979,26433,81,48,75,100
53092,5383,6464,2812,3341,166000,882,336,23338,87,51,53,100
54120,6039,3187,3011,3723,84960,811,1279,13593,87,56,33,100
55168,4478,15478,7365,6451,7048,2036,3422,10407,77,61,33,100
56200,7149,8271,7340,5173,6261,2966,3769,10092,75,64,53,100
57241,10236,9767,8806,6427,108551,7241,2294,46188,87,61,204,100
58289,10852,3823,4482,3403,96819,1466,1065,7610,88,57,-117,100
59340,9369,8500,7193,5790,856793,2103,923,66353,74,50,60,100
60387,1209,9894,3383,3120,87300,1997,1016,17767,57,47,259,100
61436,6632,11493,7107,4867,351071,3429,1163,90785,50,41,72,100
62475,5178,1037,3453,770,202268,830,594,24424,30,27,99,100
63522,43304,44495,29176,33159,1812133,12735,5662,525347,24,26,59,100
64569,7405,18263,8842,13662,6394,3786,2020,14996,29,37,56,100
65617,2333,7870,14062,5714,14508,3614,2353,13380,37,51,53,100
66644,35181,4339,9729,5240,22636,4928,4164,40143,51,60,3,100
67695,22659,4283,8305,6152,32384,4525,1086,10089,78,67,35,100
68741,4793,5590,15340,7778,21021,5316,2771,29944,63,64,130,100
69786,17318,13902,4559,11578,16778,3448,7970,38332,74,61,90,100
70834,3337,218,1518,858,60228,296,206,8308,63,61,90,100
71884,14401,4483,4982,2257,285083,619,449,46497,48,48,64,100
72932,2990,12991,10076,7224,46720,3358,1610,13729,60,50,2,100
73978,9136,10880,53351,13610,1499618,5507,7645,101703,37,47,100,100
75023,28782,12665,9251,16778,32006,4915,2238,23700,50,57,48,100
76075,26389,26015,7701,14807,107407,4390,3530,24159,64,70,50,100
77125,2747,5254,11031,7920,32336,3657,1698,32910,50,69,16,100
78167,9924,1983,9705,5453,1260,3387,7395,12682,69,70,4,100
79217,39603,3438,6686,14823,24118,4006,6655,34576,64,70,51,100
80265,5976,22103,4289,4515,231100,1366,583,26804,87,64,-4,100
81315,2519,10403,5688,11319,10614,2829,1777,26826,69,67,52,100
82363,29022,37722,12119,8184,109229,2563,2966,72844,78,57,68,100
83403,2257,8148,1409,3173,55424,1000,1732,9504,78,56,35,100
84452,10446,2458,7628,9866,15097,2672,2381,29652,63,64,20,100
85501,22433,3971,5768,1632,158832,811,857,30411,75,44,60,100
86549,9723,5288,2904,9903,5950,1528,1742,10762,70,61,67,100
87596,4925,11163,8708,7383,14211,5450,2986,11601,67,64,23,100
88645,6713,16162,17071,5979,7597,1511,1218,8091,81,63,29,100
89693,3838,7617,4839,6426,6627,4156,895,12815,78,81,51,100
90736,4451,6025,7350,3710,1750,2961,3295,14867,70,75,35,100
91780,6607,9969,25648,9470,5369,4211,3289,13168,66,77,27,100
92826,7122,7561,7488,2811,176641,4362,1054,112212,43,57,-40,100
93873,52187,26353,17100,24989,296984,20686,10614,145709,40,50,41,100
94923,34320,16926,29629,14404,227053,3804,10934,105611,37,47,36,100
95971,13136,20572,4771,4683,2273,3840,3309,9972,56,38,48,100
97018,6711,13142,3811,8248,5418,8441,4248,21306,77,57,8,100
98066,5119,7014,19948,7479,13660,1699,2534,25698,67,61,43,100
99106,8086,6272,4552,5388,56087,1803,1365,42848,54,70,-418,100
100151,12343,12853,9599,8133,722277,3942,2012,89409,44,63,56,100
101200,12411,16104,9281,12590,5445,11002,4494,19449,57,64,53,100
